Info 0    [12:02:10.253] Starting TS Server
Info 133  [12:03:16.439] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false structureIsReused:: Completely Elapsed: 4.261875003576279ms
Info 134  [12:03:16.439] Different program with same set of files
Info 135  [12:03:16.522] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 136  [12:03:16.525] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false structureIsReused:: Completely Elapsed: 3.2458750009536743ms
Info 137  [12:03:16.525] Different program with same set of files
Info 138  [12:03:16.623] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 139  [12:03:16.626] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false structureIsReused:: Completely Elapsed: 3.149082988500595ms
Info 140  [12:03:16.627] Different program with same set of files
Info 141  [12:03:16.781] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 142  [12:03:16.784] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false structureIsReused:: Completely Elapsed: 3.5212090015411377ms
Info 143  [12:03:16.784] Different program with same set of files
Info 144  [12:03:16.866] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 145  [12:03:16.870] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false structureIsReused:: Completely Elapsed: 4.140415996313095ms
Info 146  [12:03:16.870] Different program with same set of files
Info 147  [12:03:16.992] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 148  [12:03:16.996] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false structureIsReused:: Completely Elapsed: 3.841040998697281ms
Info 149  [12:03:16.996] Different program with same set of files
Info 150  [12:03:17.249] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 151  [12:03:17.255] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false structureIsReused:: Completely Elapsed: 6.385292008519173ms
Info 152  [12:03:17.255] Different program with same set of files
Info 153  [12:03:17.735] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 154  [12:03:17.743] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false structureIsReused:: Completely Elapsed: 7.670375004410744ms
Info 155  [12:03:17.743] Different program with same set of files
Info 156  [12:03:17.940] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 157  [12:03:17.943] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 35 structureChanged: false structureIsReused:: Completely Elapsed: 2.4412499964237213ms
Info 158  [12:03:17.943] Different program with same set of files
Info 159  [12:03:18.368] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 160  [12:03:18.375] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 36 structureChanged: false structureIsReused:: Completely Elapsed: 6.38841700553894ms
Info 161  [12:03:18.375] Different program with same set of files
Info 162  [12:03:18.623] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 163  [12:03:18.625] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 37 structureChanged: false structureIsReused:: Completely Elapsed: 2.2574999928474426ms
Info 164  [12:03:18.625] Different program with same set of files
Info 165  [12:03:19.071] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 166  [12:03:19.078] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 38 structureChanged: false structureIsReused:: Completely Elapsed: 6.170290991663933ms
Info 167  [12:03:19.078] Different program with same set of files
Info 168  [12:03:19.284] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 169  [12:03:19.290] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 39 structureChanged: false structureIsReused:: Completely Elapsed: 6.1366250067949295ms
Info 170  [12:03:19.290] Different program with same set of files
Info 171  [12:03:19.674] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 172  [12:03:19.678] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 40 structureChanged: false structureIsReused:: Completely Elapsed: 2.9538749903440475ms
Info 173  [12:03:19.678] Different program with same set of files
Info 174  [12:03:20.021] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 175  [12:03:20.025] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 41 structureChanged: false structureIsReused:: Completely Elapsed: 4.05358399450779ms
Info 176  [12:03:20.025] Different program with same set of files
Info 177  [12:03:20.119] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 178  [12:03:20.125] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 42 structureChanged: false structureIsReused:: Completely Elapsed: 6.273874998092651ms
Info 179  [12:03:20.125] Different program with same set of files
Info 180  [12:03:20.258] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 181  [12:03:20.264] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 43 structureChanged: false structureIsReused:: Completely Elapsed: 5.221083000302315ms
Info 182  [12:03:20.264] Different program with same set of files
Info 183  [12:03:20.442] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 184  [12:03:20.444] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 44 structureChanged: false structureIsReused:: Completely Elapsed: 2.434459000825882ms
Info 185  [12:03:20.444] Different program with same set of files
Info 186  [12:03:20.671] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 187  [12:03:20.676] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 45 structureChanged: false structureIsReused:: Completely Elapsed: 4.682624995708466ms
Info 188  [12:03:20.676] Different program with same set of files
Info 189  [12:03:20.747] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 190  [12:03:20.753] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 46 structureChanged: false structureIsReused:: Completely Elapsed: 5.291875004768372ms
Info 191  [12:03:20.753] Different program with same set of files
Info 192  [12:03:20.764] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 193  [12:03:20.767] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 47 structureChanged: false structureIsReused:: Completely Elapsed: 3.1958330124616623ms
Info 194  [12:03:20.767] Different program with same set of files
Info 195  [12:03:20.888] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 196  [12:03:20.890] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 48 structureChanged: false structureIsReused:: Completely Elapsed: 2.3568749874830246ms
Info 197  [12:03:20.890] Different program with same set of files
Info 198  [12:03:21.035] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 199  [12:03:21.038] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 49 structureChanged: false structureIsReused:: Completely Elapsed: 2.637249991297722ms
Info 200  [12:03:21.038] Different program with same set of files
Info 201  [12:03:21.104] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 202  [12:03:21.107] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 50 structureChanged: false structureIsReused:: Completely Elapsed: 2.30595800280571ms
Info 203  [12:03:21.107] Different program with same set of files
Info 204  [12:03:21.217] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 205  [12:03:21.221] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 51 structureChanged: false structureIsReused:: Completely Elapsed: 3.3332499861717224ms
Info 206  [12:03:21.221] Different program with same set of files
Info 207  [12:03:21.424] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 208  [12:03:21.427] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 52 structureChanged: false structureIsReused:: Completely Elapsed: 2.9286669939756393ms
Info 209  [12:03:21.427] Different program with same set of files
Info 210  [12:03:21.508] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 211  [12:03:21.512] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 53 structureChanged: false structureIsReused:: Completely Elapsed: 3.4983749985694885ms
Info 212  [12:03:21.512] Different program with same set of files
Info 213  [12:03:21.632] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 214  [12:03:21.634] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 54 structureChanged: false structureIsReused:: Completely Elapsed: 2.542167007923126ms
Info 215  [12:03:21.634] Different program with same set of files
Info 216  [12:03:21.743] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 217  [12:03:21.745] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 55 structureChanged: false structureIsReused:: Completely Elapsed: 2.703374996781349ms
Info 218  [12:03:21.745] Different program with same set of files
Info 219  [12:03:21.850] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 220  [12:03:21.854] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 56 structureChanged: false structureIsReused:: Completely Elapsed: 3.186499997973442ms
Info 221  [12:03:21.854] Different program with same set of files
Info 222  [12:03:21.985] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 223  [12:03:21.990] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 57 structureChanged: false structureIsReused:: Completely Elapsed: 5.2789579927921295ms
Info 224  [12:03:21.990] Different program with same set of files
Info 225  [12:03:22.146] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 226  [12:03:22.148] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 58 structureChanged: false structureIsReused:: Completely Elapsed: 2.0267920047044754ms
Info 227  [12:03:22.148] Different program with same set of files
Info 228  [12:03:22.228] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 229  [12:03:22.230] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 59 structureChanged: false structureIsReused:: Completely Elapsed: 2.3082500100135803ms
Info 230  [12:03:22.230] Different program with same set of files
Info 231  [12:03:22.324] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 232  [12:03:22.326] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 60 structureChanged: false structureIsReused:: Completely Elapsed: 2.0655840039253235ms
Info 233  [12:03:22.326] Different program with same set of files
Info 234  [12:03:22.560] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 235  [12:03:22.562] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 61 structureChanged: false structureIsReused:: Completely Elapsed: 2.3358329981565475ms
Info 236  [12:03:22.562] Different program with same set of files
Info 237  [12:03:22.745] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 238  [12:03:22.750] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 62 structureChanged: false structureIsReused:: Completely Elapsed: 4.303874999284744ms
Info 239  [12:03:22.750] Different program with same set of files
Info 240  [12:03:22.874] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 241  [12:03:22.877] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 63 structureChanged: false structureIsReused:: Completely Elapsed: 3.6427080035209656ms
Info 242  [12:03:22.878] Different program with same set of files
Info 243  [12:03:23.007] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 244  [12:03:23.012] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 64 structureChanged: false structureIsReused:: Completely Elapsed: 4.881832987070084ms
Info 245  [12:03:23.012] Different program with same set of files
Info 246  [12:03:23.112] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 247  [12:03:23.116] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 65 structureChanged: false structureIsReused:: Completely Elapsed: 4.437374994158745ms
Info 248  [12:03:23.116] Different program with same set of files
Info 249  [12:03:23.122] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 250  [12:03:23.125] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 66 structureChanged: false structureIsReused:: Completely Elapsed: 2.133333995938301ms
Info 251  [12:03:23.125] Different program with same set of files
Info 252  [12:03:23.311] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 253  [12:03:23.317] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 67 structureChanged: false structureIsReused:: Completely Elapsed: 5.9719579964876175ms
Info 254  [12:03:23.317] Different program with same set of files
Info 255  [12:03:23.390] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 256  [12:03:23.394] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 68 structureChanged: false structureIsReused:: Completely Elapsed: 4.080375000834465ms
Info 257  [12:03:23.394] Different program with same set of files
Info 258  [12:03:23.806] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 259  [12:03:23.809] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 69 structureChanged: false structureIsReused:: Completely Elapsed: 2.741583004593849ms
Info 260  [12:03:23.809] Different program with same set of files
Info 261  [12:03:24.045] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 262  [12:03:24.048] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 70 structureChanged: false structureIsReused:: Completely Elapsed: 3.1694590002298355ms
Info 263  [12:03:24.048] Different program with same set of files
Info 264  [12:03:24.206] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 265  [12:03:24.213] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 71 structureChanged: false structureIsReused:: Completely Elapsed: 6.543332993984222ms
Info 266  [12:03:24.213] Different program with same set of files
Info 267  [12:03:24.375] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 268  [12:03:24.378] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 72 structureChanged: false structureIsReused:: Completely Elapsed: 3.0095830112695694ms
Info 269  [12:03:24.378] Different program with same set of files
Info 270  [12:03:24.741] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 271  [12:03:24.748] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 73 structureChanged: false structureIsReused:: Completely Elapsed: 6.1507920026779175ms
Info 272  [12:03:24.748] Different program with same set of files
Info 273  [12:03:26.676] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 274  [12:03:26.681] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 74 structureChanged: false structureIsReused:: Completely Elapsed: 4.9164160043001175ms
Info 275  [12:03:26.681] Different program with same set of files
Info 276  [12:03:26.875] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 277  [12:03:26.878] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 75 structureChanged: false structureIsReused:: Completely Elapsed: 2.8942919969558716ms
Info 278  [12:03:26.878] Different program with same set of files
Info 279  [12:03:26.952] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 280  [12:03:26.958] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 76 structureChanged: false structureIsReused:: Completely Elapsed: 5.813083007931709ms
Info 281  [12:03:26.958] Different program with same set of files
Info 282  [12:03:27.086] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 283  [12:03:27.091] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 77 structureChanged: false structureIsReused:: Completely Elapsed: 4.716041997075081ms
Info 284  [12:03:27.091] Different program with same set of files
Info 285  [12:03:27.187] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
